c_CI_Cat,c_Closure_Code,q_No_of_Reassignments,q_No_of_Related_Incidents,q_No_of_Related_Interactions,t_Close_Time,t_Open_Time,t_ReopenFlag,t_TicketWIPDurationDays,y_Priority
11,4,26,2.0,1.0,2013-11-04 13:51:00,2012-02-05 13:32:00,0,638.0131944444445,3
1,6,33,1.0,1.0,2013-12-02 12:36:00,2012-03-12 15:44:00,1,629.8694444444443,2
1,3,13,0.0,1.0,2013-11-14 09:31:00,2012-07-17 11:49:00,0,484.9041666666666,3
1,4,2,0.0,1.0,2013-11-08 13:55:00,2012-08-10 11:01:00,0,455.1208333333333,3
1,4,4,0.0,1.0,2013-11-08 13:54:00,2012-08-10 11:27:00,0,455.10208333333327,3
1,7,2,0.0,1.0,2013-12-27 10:59:00,2012-08-15 14:17:00,0,498.8625,3
1,4,5,0.0,1.0,2013-11-08 14:09:00,2012-08-22 16:31:00,0,442.90138888888885,3
1,2,2,0.0,1.0,2013-11-08 14:35:00,2012-09-03 16:04:00,0,430.9381944444444,3
1,6,6,0.0,1.0,2013-11-08 14:23:00,2012-09-21 12:56:00,0,413.0604166666666,3
1,6,8,0.0,1.0,2013-11-08 14:22:00,2012-10-01 10:49:00,0,403.14791666666673,3
1,6,5,0.0,2.0,2014-02-04 09:38:00,2012-10-02 12:12:00,1,489.89305555555563,3
1,6,17,2.0,1.0,2013-11-14 13:33:00,2012-10-15 15:50:00,0,394.90486111111113,3
1,0,1,0.0,1.0,2013-12-12 10:24:00,2012-10-18 14:33:00,0,419.82708333333335,2
1,4,3,2.0,1.0,2013-11-08 14:58:00,2012-10-23 12:01:00,0,381.1229166666666,3
11,4,1,0.0,1.0,2013-12-20 11:31:00,2012-11-21 11:53:00,0,393.9847222222222,3
11,7,7,0.0,1.0,2013-10-30 08:45:00,2012-12-05 15:17:00,0,328.72777777777776,3
1,4,17,0.0,2.0,2013-11-30 10:39:00,2012-12-07 14:34:00,0,357.8368055555556,2
1,4,5,0.0,2.0,2014-03-28 14:20:00,2012-12-10 14:44:00,1,472.98333333333335,4
1,5,6,2.0,1.0,2013-11-14 09:49:00,2012-12-24 16:31:00,0,324.72083333333336,3
1,6,4,1.0,1.0,2014-01-29 15:01:00,2013-01-15 15:36:00,0,378.9756944444445,3
1,4,2,0.0,1.0,2013-11-08 14:55:00,2013-01-22 16:38:00,0,289.92847222222224,3
